StyleNumber,METAL,PRICE,ATTRIBUTE,TotalWeight,Collection,ImageURL
4N02,14kt,3180,0,,MENS,
4N02,18kt,3680,0,,MENS,
4N02,plat,3680,0,,MENS,
5N02,14kt,3680,0,,MENS,
5N02,18kt,3720,0,,MENS,
5N02,plat,4180,0,,MENS,
6N02,14kt,3980,0,,MENS,
6N02,18kt,4480,0,,MENS,
6N02,plat,4480,0,,MENS,
6N02-RWR,14kt,3980,0,,MENS,
6N02-RWR,18kt,4580,0,,MENS,
6N02-RWR,plat,4480,0,,MENS,
6N02-WRW,14kt,4580,0,,MENS,
6N02-WRW,18kt,4480,0,,MENS,
6N02-WRW,plat,5080,0,,MENS,
6N02-YWY,14kt,4980,0,,MENS,
6N02-YWY,18kt,4980,0,,MENS,
6N02-YWY,plat,5480,0,,MENS,
6N02HM,14kt,3780,0,,MENS,
6N02HM,18kt,3980,0,,MENS,
6N02HM,plat,4280,0,,MENS,
6N03-WRW,14kt,4580,0,,MENS,
6N03-WRW,18kt,4680,0,,MENS,
6N03-WRW,plat,5080,0,,MENS,
6N03-WYW,14kt,4380,0,,MENS,
6N03-WYW,18kt,4480,0,,MENS,
6N03-WYW,plat,4880,0,,MENS,
6N04,14kt,4680,0,,MENS,
6N04,18kt,4680,0,,MENS,
6N04,plat,5180,0,,MENS,
6N05,14kt,4380,0,,MENS,
6N05,18kt,4440,0,,MENS,
6N05,plat,4880,0,,MENS,
6N06,14kt,4440,0,,MENS,
6N06,18kt,4320,0,,MENS,
6N06,plat,4940,0,,MENS,
6N08,14kt,4720,0,,MENS,
6N08,18kt,2980,0,,MENS,
6N08,plat,5220,0,,MENS,
6N09HM,14kt,3380,0,,MENS,
6N09HM,18kt,3180,0,,MENS,
6N09HM,plat,3880,0,,MENS,
6N10,14kt,3580,0,,MENS,
6N10,18kt,3680,0,,MENS,
6N10,plat,4080,0,,MENS,
6N11,14kt,3580,0,,MENS,
6N11,18kt,3980,0,,MENS,
6N11,plat,4080,0,,MENS,
6N12HM,14kt,4080,0,,MENS,
6N12HM,18kt,4480,0,,MENS,
6N12HM,plat,4580,0,,MENS,
6N13,14kt,4700,0,,MENS,
6N13,18kt,5280,0,,MENS,
6N13,plat,5200,0,,MENS,
6N14HM,14kt,4680,0,,MENS,
6N14HM,18kt,8880,0,,MENS,
6N14HM,plat,5180,0,,MENS,
6N15,14kt,4980,0,,MENS,
6N15,18kt,6940,0,,MENS,
6N15,plat,5480,0,,MENS,
6N16,14kt,8020,0,,MENS,
6N16,18kt,6580,0,,MENS,
6N16,plat,8520,0,,MENS,
6N17HM,14kt,7580,0,,MENS,
6N17HM,18kt,5680,0,,MENS,
6N17HM,plat,8080,0,,MENS,
7N02,14kt,5580,0,,MENS,
7N02,18kt,6440,0,,MENS,
7N02,plat,6080,0,,MENS,
7N03,14kt,6480,0,,MENS,
7N03,18kt,6580,0,,MENS,
7N03,plat,6980,0,,MENS,
7N03-RWRWR,14kt,5580,0,,MENS,
7N03-RWRWR,18kt,7980,0,,MENS,
7N03-RWRWR,plat,6080,0,,MENS,
7N03-WRWRW,14kt,7980,0,,MENS,
7N03-WRWRW,18kt,6680,0,,MENS,
7N03-WRWRW,plat,8480,0,,MENS,
7N04,14kt,7880,0,,MENS,
7N04,18kt,8480,0,,MENS,
7N04,plat,8380,0,,MENS,
7N05,14kt,7980,0,,MENS,
7N05,18kt,7980,0,,MENS,
7N05,plat,8480,0,,MENS,
7N06HM,14kt,7980,0,,MENS,
7N06HM,18kt,7980,0,,MENS,
7N06HM,plat,8480,0,,MENS,
8N02,14kt,7980,0,,MENS,
8N02,18kt,3780,0,,MENS,
8N02,plat,8480,0,,MENS,
8N02HM,14kt,3780,0,,MENS,
8N02HM,18kt,4380,0,,MENS,
8N02HM,plat,4280,0,,MENS,
8N03,14kt,4580,0,,MENS,
8N03,18kt,4620,0,,MENS,
8N03,plat,5080,0,,MENS,
8N04,14kt,5160,0,,MENS,
8N04,18kt,6980,0,,MENS,
8N04,plat,5660,0,,MENS,
AFN-5001P,14KT,3400,1,0.25,VENETIAN,
